run_id,method,num_qubits,layers,steps,repeats,total_steps,status,error_message,final_energy,total_wall_s,avg_step_ms,total_wall_speedup_vs_inverse_walk,total_wall_speedup_vs_inverse_walk_cuQuantum,backend_timing_total_forward_s,backend_timing_avg_ms_per_step_forward_s,backend_timing_total_backward_s,backend_timing_avg_ms_per_step_backward_s,backend_timing_total_gradient_s,backend_timing_avg_ms_per_step_gradient_s,estimated_workspace_gib,effective_gate_fusion,pennylane_gate_structure,gpu_sample_count,gpu_telemetry_elapsed_wall_s,gpu_snapshots_collected,gpu_telemetry_note,gpu_pcie_note,gpu_index,gpu_name,gpu_fb_memory_total_mib,gpu_avg_utilization_gpu_pct,gpu_peak_utilization_gpu_pct,gpu_avg_utilization_memory_pct,gpu_peak_utilization_memory_pct,gpu_avg_power_draw_w,gpu_peak_power_draw_w,gpu_peak_temperature_c,gpu_peak_fb_memory_used_mib,gpu_peak_process_used_gpu_memory_mib,gpu_peak_clocks_sm_mhz,gpu_peak_clocks_mem_mhz,gpu_avg_sm_activity_pct,gpu_peak_sm_activity_pct,gpu_avg_sm_occupancy_pct,gpu_peak_sm_occupancy_pct,gpu_avg_tensor_activity_pct,gpu_peak_tensor_activity_pct,gpu_avg_dram_activity_pct,gpu_peak_dram_activity_pct,gpu_avg_fp64_activity_pct,gpu_peak_fp64_activity_pct,gpu_avg_fp32_activity_pct,gpu_peak_fp32_activity_pct,gpu_avg_fp16_activity_pct,gpu_peak_fp16_activity_pct,gpu_pcie_sample_count,gpu_avg_pcie_rx_kbps,gpu_peak_pcie_rx_kbps,gpu_avg_pcie_tx_kbps,gpu_peak_pcie_tx_kbps,ncu_profiled_kernel_launches,ncu_ncu_status,ncu_ncu_message,ncu_avg_launch__grid_size,ncu_peak_launch__grid_size,ncu_avg_launch__block_size,ncu_peak_launch__block_size,ncu_avg_gpu__time_duration.sum,ncu_peak_gpu__time_duration.sum,ncu_avg_sm__throughput.avg.pct_of_peak_sustained_elapsed,ncu_peak_sm__throughput.avg.pct_of_peak_sustained_elapsed,ncu_avg_sm__warps_active.avg.pct_of_peak_sustained_active,ncu_peak_sm__warps_active.avg.pct_of_peak_sustained_active,ncu_avg_smsp__warps_eligible.avg.per_cycle_active,ncu_peak_smsp__warps_eligible.avg.per_cycle_active,ncu_avg_dram__throughput.avg.pct_of_peak_sustained_elapsed,ncu_peak_dram__throughput.avg.pct_of_peak_sustained_elapsed,ncu_avg_lts__throughput.avg.pct_of_peak_sustained_elapsed,ncu_peak_lts__throughput.avg.pct_of_peak_sustained_elapsed,ncu_avg_lts__t_sector_hit_rate.pct,ncu_peak_lts__t_sector_hit_rate.pct,ncu_ncu_avg_sm_activity_pct,ncu_ncu_peak_sm_activity_pct,ncu_ncu_avg_sm_occupancy_pct,ncu_ncu_peak_sm_occupancy_pct,ncu_ncu_avg_dram_activity_pct,ncu_ncu_peak_dram_activity_pct,ncu_kernel_profiled_launches_detail,ncu_kernel_time_total_ns_detail,ncu_kernel_time_avg_ns_detail,ncu_kernel_time_peak_ns_detail
q8_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,8,2,20,1,20,ok,,-8.82976787146263,0.739787865022663,36.98939325113315,,1.0,,,,,,,1.52587890625e-05,,True,2,1.1074184689787216,2,,,0,NVIDIA RTX 6000 Ada Generation,49140,18.0,18.0,4.0,4.0,28.85,28.85,36.0,1622,456,210.0,405.0,,,,,,,,,,,,,,,1,11.0,11.0,1.0,1.0,64,ok,,1.25,2.0,105.0,256.0,2228.5,5856.0,0.1015625,0.4,6.68,16.58,0.0303125,0.07,0.34765625,0.58,0.52453125,1.24,91.64046875,189.52,0.1015625,0.4,6.68,16.58,0.34765625,0.58,64,142624.0,2228.5,5856.0
q8_l2_structured_adjoint,structured_adjoint,8,2,20,1,20,ok,,-8.790185129005481,0.06679409497883171,3.3397047489415854,,11.075647708934683,,,,,,,1.52587890625e-05,,True,1,1.0854606250068173,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,14.0,14.0,1.0,1.0,106.07,106.07,42.0,1720,430,2715.0,9501.0,,,,,,,,,,,,,,,1,18.0,18.0,5.0,5.0,64,ok,,1.0,1.0,256.0,256.0,6752.0,18176.0,0.22187500000000002,0.47,16.21890625,16.63,0.056875,0.08,0.40578125,3.28,0.48890625000000004,1.59,91.905625,252.98,0.22187500000000002,0.47,16.21890625,16.63,0.40578125,3.28,64,432128.0,6752.0,18176.0
q9_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,9,2,20,1,20,ok,,-9.943036112360625,0.013921527017373592,0.6960763508686796,,1.0,,,,,,,3.0517578125e-05,,True,1,0.04709978701430373,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,2.0,2.0,0.0,0.0,106.37,106.37,45.0,1716,428,2505.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,2.546875,4.0,109.0,256.0,2302.5,6304.0,0.20015625,0.82,6.93375,16.59,0.02796875,0.07,0.62125,3.55,0.55421875,1.17,87.26484375,118.82,0.20015625,0.82,6.93375,16.59,0.62125,3.55,64,147360.0,2302.5,6304.0
q9_l2_structured_adjoint,structured_adjoint,9,2,20,1,20,ok,,-9.875610975925234,0.0035724869812838733,0.17862434906419367,,3.8968727080904575,,,,,,,3.0517578125e-05,,True,1,0.04649832201539539,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,10.0,10.0,1.0,1.0,103.52,103.52,46.0,1704,428,2715.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,1.765625,2.0,256.0,256.0,7182.5,18304.0,0.43046875,0.92,16.259375,16.63,0.051875000000000004,0.08,0.55359375,3.32,0.48984375,1.11,88.5803125,128.64,0.43046875,0.92,16.259375,16.63,0.55359375,3.32,64,459680.0,7182.5,18304.0
q10_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,10,2,20,1,20,ok,,-10.89762779644656,0.015801815985469148,0.7900907992734574,,1.0,,,,,,,6.103515625e-05,,True,1,0.04843618499580771,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,5.0,5.0,0.0,0.0,107.62,107.62,47.0,1712,428,2715.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,5.203125,8.0,113.0,256.0,2313.5,6656.0,0.411875,1.68,7.18671875,16.59,0.02828125,0.07,1.056875,4.22,0.67078125,1.21,83.28859375,107.73,0.411875,1.68,7.18671875,16.59,1.056875,4.22,64,148064.0,2313.5,6656.0
q10_l2_structured_adjoint,structured_adjoint,10,2,20,1,20,ok,,-10.866217730119935,0.0060899200034327805,0.304496000171639,,2.5947493524647194,,,,,,,6.103515625e-05,,True,1,0.04306851699948311,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,1.0,1.0,0.0,0.0,107.22,107.22,49.0,1738,428,2715.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,3.4375,4.0,256.0,256.0,7391.5,18272.0,0.91546875,1.85,16.30453125,16.63,0.05109375,0.08,0.7971875,4.29,0.57578125,1.99,86.036875,208.31,0.91546875,1.85,16.30453125,16.63,0.7971875,4.29,64,473056.0,7391.5,18272.0
q11_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,11,2,20,1,20,ok,,-11.724642125994677,0.02728585500153713,1.3642927500768565,,1.0,,,,,,,0.0001220703125,,True,1,1.0943279849889223,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,15.0,15.0,0.0,0.0,108.99,108.99,51.0,1726,428,2700.0,9501.0,,,,,,,,,,,,,,,1,55.0,55.0,37.0,37.0,64,ok,,10.75,16.0,111.0,256.0,2254.5,2752.0,0.81125,1.21,7.07765625,16.25,0.026875,0.04,1.7965625,4.98,0.91234375,1.41,75.89953125,142.96,0.81125,1.21,7.07765625,16.25,1.7965625,4.98,64,144288.0,2254.5,2752.0
q11_l2_structured_adjoint,structured_adjoint,11,2,20,1,20,ok,,-11.716304831083452,0.005490705982083455,0.27453529910417274,,4.969462049246986,,,,,,,0.0001220703125,,True,1,0.04003607400227338,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,2.0,2.0,0.0,0.0,110.34,110.34,53.0,1706,428,2505.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,6.546875,8.0,256.0,256.0,8143.5,18272.0,1.88640625,3.64,16.345937499999998,16.63,0.047968750000000004,0.08,1.15171875,2.44,0.6978125000000001,1.67,81.18796875,265.41,1.88640625,3.64,16.345937499999998,16.63,1.15171875,2.44,64,521184.0,8143.5,18272.0
q12_l2_inverse_walk_cuQuantum,inverse_walk_cuQuantum,12,2,20,1,20,ok,,-12.874545453520586,0.021495816006790847,1.0747908003395423,,1.0,,,,,,,0.000244140625,,True,1,1.0881939250102732,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,13.0,13.0,1.0,1.0,108.34,108.34,53.0,1718,428,2700.0,9501.0,,,,,,,,,,,,,,,1,20.0,20.0,0.0,0.0,64,ok,,22.0,32.0,115.0,256.0,2299.5,2592.0,1.64671875,2.39,7.31625,16.27,0.0265625,0.04,3.26046875,6.23,1.43109375,2.85,69.500625,100.43,1.64671875,2.39,7.31625,16.27,3.26046875,6.23,64,147168.0,2299.5,2592.0
q12_l2_structured_adjoint,structured_adjoint,12,2,20,1,20,ok,,-12.830484033656681,0.005145912000443786,0.2572956000221893,,4.177260708099368,,,,,,,0.000244140625,,True,1,0.04203109099762514,1,,,0,NVIDIA RTX 6000 Ada Generation,49140,11.0,11.0,0.0,0.0,110.56,110.56,54.0,1694,428,2700.0,9501.0,,,,,,,,,,,,,,,0,,,,,64,ok,,15.0625,16.0,256.0,256.0,8264.5,18368.0,4.069375,7.39,16.24921875,16.63,0.05234375,0.08,2.3453125,8.46,1.07734375,1.96,74.2090625,177.92,4.069375,7.39,16.24921875,16.63,2.3453125,8.46,64,528928.0,8264.5,18368.0
